"seqnames","start","end","width","strand","name"
"1",5862810,5992473,129664,"*","ENSG00000131697.18"
"1",5990926,6101193,110268,"*","ENSG00000069424.15"
"1",6101786,6180321,78536,"*","ENSG00000116254.18"
"1",6159429,6197757,38329,"*","ENSG00000285629.1"
"1",6185019,6209389,24371,"*","ENSG00000116251.11"
"1",6204839,6205780,942,"*","ENSG00000226944.1"
"1",6205474,6221299,15826,"*","ENSG00000158286.13"
"1",6221192,6235972,14781,"*","ENSG00000116237.16"
"1",6234691,6239444,4754,"*","ENSG00000225077.3"
"1",6244178,6245578,1401,"*","ENSG00000173673.8"
"1",6247352,6261098,13747,"*","ENSG00000158292.7"
"1",6264268,6394391,130124,"*","ENSG00000097021.19"
"1",6393554,6394391,838,"*","ENSG00000271746.1"
"1",6412417,6424670,12254,"*","ENSG00000069812.11"
"1",6424775,6461367,36593,"*","ENSG00000187017.17"
"1",6429833,6429896,64,"*","ENSG00000265392.1"
"1",6443033,6447006,3974,"*","ENSG00000231868.1"
"1",6460785,6466195,5411,"*","ENSG00000215788.10"
"1",6466091,6520061,53971,"*","ENSG00000171680.22"
"1",6521346,6554513,33168,"*","ENSG00000162408.11"
"1",6540853,6540964,112,"*","ENSG00000253022.1"
"1",6547904,6548619,716,"*","ENSG00000229519.2"
"1",6555306,6579755,24450,"*","ENSG00000173662.21"
"1",6579993,6589280,9288,"*","ENSG00000204859.13"
"1",6590723,6614607,23885,"*","ENSG00000162413.16"
"1",6613730,6624030,10301,"*","ENSG00000116273.6"
"1",6624865,6635586,10722,"*","ENSG00000041988.15"
"1",6634167,6701924,67758,"*","ENSG00000007923.16"
"1",6724636,6730012,5377,"*","ENSG00000228750.7"
"1",6767953,6770038,2086,"*","ENSG00000284744.1"
"1",6783891,6784843,953,"*","ENSG00000237436.1"
"1",6785453,7769706,984254,"*","ENSG00000171735.19"
"1",6834332,6834618,287,"*","ENSG00000227950.1"
"1",7008375,7014279,5905,"*","ENSG00000237365.1"
"1",7219359,7219524,166,"*","ENSG00000207056.1"
"1",7368941,7370270,1330,"*","ENSG00000237402.1"
"1",7382486,7389754,7269,"*","ENSG00000237728.2"
"1",7441095,7441554,460,"*","ENSG00000225126.1"
"1",7693123,7694844,1722,"*","ENSG00000270171.1"
"1",7698302,7698872,571,"*","ENSG00000270035.1"
"1",7700703,7700970,268,"*","ENSG00000269978.1"
"1",7771295,7781432,10138,"*","ENSG00000049245.13"
"1",7776382,7776775,394,"*","ENSG00000269925.1"
"1",7784319,7845177,60859,"*","ENSG00000049246.14"
"1",7810241,7827342,17102,"*","ENSG00000236266.1"
"1",7843082,7853512,10431,"*","ENSG00000049247.13"
"1",7915893,7943165,27273,"*","ENSG00000049249.8"
"1",7942371,7942726,356,"*","ENSG00000270330.1"
"1",7954290,7985505,31216,"*","ENSG00000116288.13"
"1",7982880,7982983,104,"*","ENSG00000200344.1"
"1",7991133,8005312,14180,"*","ENSG00000284747.1"
"1",7998186,7999934,1749,"*","ENSG00000284716.1"
"1",8004403,8026309,21907,"*","ENSG00000116285.13"
"1",8026737,8122702,95966,"*","ENSG00000238290.1"
"1",8057244,8058463,1220,"*","ENSG00000232848.1"
"1",8189823,8192770,2948,"*","ENSG00000229305.1"
"1",8201517,8215210,13694,"*","ENSG00000227634.3"
"1",8206433,8206597,165,"*","ENSG00000200975.1"
"1",8218189,8220529,2341,"*","ENSG00000233645.1"
"1",8292156,8292263,108,"*","ENSG00000251977.1"
"1",8317825,8344167,26343,"*","ENSG00000162426.14"
"1",8328066,8328179,114,"*","ENSG00000252254.1"
"1",8352396,8848921,496526,"*","ENSG00000142599.19"
"1",8424644,8435013,10370,"*","ENSG00000232912.6"
"1",8511794,8511919,126,"*","ENSG00000221083.1"
"1",8512652,8513021,370,"*","ENSG00000270282.1"
"1",8750429,8751087,659,"*","ENSG00000234619.1"
"1",8786210,8786913,704,"*","ENSG00000224315.2"
"1",8796570,8796673,104,"*","ENSG00000222511.2"
"1",8798474,8799506,1033,"*","ENSG00000226545.1"
"1",8805859,8807051,1193,"*","ENSG00000228423.2"
"1",8831006,8831375,370,"*","ENSG00000229716.2"
"1",8860999,8879190,18192,"*","ENSG00000074800.16"
"1",8866501,8866590,90,"*","ENSG00000274258.1"
"1",8878834,8879894,1061,"*","ENSG00000230679.1"
"1",8883426,8883533,108,"*","ENSG00000201725.1"
"1",8893408,8894151,744,"*","ENSG00000238249.2"
"1",8907392,8907744,353,"*","ENSG00000232208.2"
"1",8909741,8909904,164,"*","ENSG00000232663.2"
"1",8945866,8975092,29227,"*","ENSG00000131686.15"
"1",8979575,8979874,300,"*","ENSG00000265141.2"
"1",9003299,9026345,23047,"*","ENSG00000197241.3"
"1",9035105,9088478,53374,"*","ENSG00000142583.18"
"1",9082695,9082879,185,"*","ENSG00000252404.1"
"1",9100304,9129102,28799,"*","ENSG00000180758.12"
"1",9148010,9198906,50897,"*","ENSG00000228526.7"
"1",9151667,9151777,111,"*","ENSG00000284357.1"
"1",9182003,9196284,14282,"*","ENSG00000234546.4"
"1",9234774,9271337,36564,"*","ENSG00000049239.12"
"1",9292893,9369532,76640,"*","ENSG00000171621.14"
"1",9421097,9422862,1766,"*","ENSG00000284652.1"
"1",9425093,9440564,15472,"*","ENSG00000284693.1"
"1",9437668,9437778,111,"*","ENSG00000252956.1"
"1",9501091,9503471,2381,"*","ENSG00000235263.1"
"1",9539464,9585173,45710,"*","ENSG00000171612.7"
"1",9576426,9576985,560,"*","ENSG00000231181.1"
"1",9588910,9614877,25968,"*","ENSG00000188807.13"
"1",9651730,9729114,77385,"*","ENSG00000171608.16"
"1",9652609,9654586,1978,"*","ENSG00000179840.5"
"1",9660827,9662626,1800,"*","ENSG00000233268.3"
"1",9672425,9687555,15131,"*","ENSG00000231789.2"
"1",9729025,9824526,95502,"*","ENSG00000171603.17"
"1",9780821,9781240,420,"*","ENSG00000271264.1"
"1",9826288,9828271,1984,"*","ENSG00000280113.2"
"1",9848275,9910336,62062,"*","ENSG00000178585.15"
"1",9848317,9850154,1838,"*","ENSG00000223989.1"
"1",9900613,9908034,7422,"*","ENSG00000285701.1"
"1",9922112,9943407,21296,"*","ENSG00000162441.12"
"1",9942922,9949974,7053,"*","ENSG00000228150.1"
"1",9943427,9985501,42075,"*","ENSG00000173614.14"
"1",9947317,9947636,320,"*","ENSG00000202415.1"
"1",9950571,9960787,10217,"*","ENSG00000283611.2"
"1",9967380,9967458,79,"*","ENSG00000265521.1"
"1",9983140,9984568,1429,"*","ENSG00000241326.1"
"1",9997205,10016021,18817,"*","ENSG00000162444.12"
"1",10032831,10181239,148409,"*","ENSG00000130939.20"
"1",10054444,10054781,338,"*","ENSG00000224340.1"
"1",10058670,10059648,979,"*","ENSG00000233623.2"
"1",10163267,10163374,108,"*","ENSG00000201746.1"
"1",10210804,10381603,170800,"*","ENSG00000054523.17"
"1",10227717,10227803,87,"*","ENSG00000264881.1"
"1",10298965,10299072,108,"*","ENSG00000199562.1"
"1",10306464,10306757,294,"*","ENSG00000264501.2"
"1",10381905,10387150,5246,"*","ENSG00000284735.1"
"1",10395415,10397432,2018,"*","ENSG00000284642.1"
"1",10398591,10420511,21921,"*","ENSG00000142657.21"
"1",10429880,10430677,798,"*","ENSG00000271989.1"
"1",10430101,10452153,22053,"*","ENSG00000251503.8"
"1",10430432,10442808,12377,"*","ENSG00000175279.22"
"1",10449718,10451902,2185,"*","ENSG00000241563.3"
"1",10456521,10472529,16009,"*","ENSG00000160049.12"
"1",10458554,10459338,785,"*","ENSG00000203469.2"
"1",10472287,10630758,158472,"*","ENSG00000142655.13"
"1",10612221,10616452,4232,"*","ENSG00000287727.1"
"1",10616835,10617115,281,"*","ENSG00000243267.3"
"1",10636603,10796650,160048,"*","ENSG00000130940.15"
"1",10639240,10654333,15094,"*","ENSG00000272078.1"
"1",10895760,10895998,239,"*","ENSG00000225158.2"
"1",10946470,10982037,35568,"*","ENSG00000175262.14"
"1",10990977,10991797,821,"*","ENSG00000215785.2"
"1",11012343,11026420,14078,"*","ENSG00000120948.17"
"1",11012661,11030528,17868,"*","ENSG00000277726.4"
"1",11026522,11047239,20718,"*","ENSG00000009724.17"
"1",11029658,11030528,871,"*","ENSG00000271895.2"
"1",11054583,11060020,5438,"*","ENSG00000116649.10"
"1",11066617,11099869,33253,"*","ENSG00000171824.14"
"1",11068470,11073097,4628,"*","ENSG00000226849.1"
"1",11099674,11102100,2427,"*","ENSG00000230337.1"
"1",11106534,11262551,156018,"*","ENSG00000198793.13"
"1",11143897,11149537,5641,"*","ENSG00000225602.5"
"1",11152349,11152452,104,"*","ENSG00000253086.1"
"1",11189354,11195981,6628,"*","ENSG00000171819.5"
"1",11226253,11226360,108,"*","ENSG00000207451.1"
"1",11232962,11233112,151,"*","ENSG00000238173.1"
"1",11273205,11296049,22845,"*","ENSG00000120942.13"
"1",11278615,11279351,737,"*","ENSG00000238199.1"
"1",11311733,11319093,7361,"*","ENSG00000284646.1"
"1",11425256,11425821,566,"*","ENSG00000224338.2"
"1",11479154,11537551,58398,"*","ENSG00000204624.8"
"1",11500802,11502016,1215,"*","ENSG00000285833.1"
"1",11609467,11613358,3892,"*","ENSG00000235643.2"
"1",11623557,11643416,19860,"*","ENSG00000284708.1"
"1",11637017,11655785,18769,"*","ENSG00000116661.11"
"1",11654374,11663327,8954,"*","ENSG00000132879.14"
"1",11664199,11674354,10156,"*","ENSG00000116663.11"
"1",11674479,11691650,17172,"*","ENSG00000116670.15"
"1",11691709,11725857,34149,"*","ENSG00000162490.7"
"1",11736083,11754802,18720,"*","ENSG00000177674.16"
"1",11761786,11789585,27800,"*","ENSG00000215910.7"
"1",11777076,11779619,2544,"*","ENSG00000177553.6"
"1",11785722,11806920,21199,"*","ENSG00000177000.12"
"1",11806095,11848079,41985,"*","ENSG00000011021.23"
"1",11843811,11843984,174,"*","ENSG00000276470.1"
"1",11845548,11845697,150,"*","ENSG00000278852.1"
"1",11845708,11848345,2638,"*","ENSG00000175206.10"
"1",11847441,11847549,109,"*","ENSG00000275915.1"
"1",11857463,11858945,1483,"*","ENSG00000120937.9"
"1",11877769,11880406,2638,"*","ENSG00000224904.1"
"1",11907939,11914298,6360,"*","ENSG00000285646.2"
"1",11908151,11908271,121,"*","ENSG00000199347.1"
"1",11909807,11909927,121,"*","ENSG00000201801.1"
"1",11919590,11926428,6839,"*","ENSG00000116685.16"
"1",11934204,11975538,41335,"*","ENSG00000083444.17"
"1",11979532,11980127,596,"*","ENSG00000287384.1"
"1",11980180,12013514,33335,"*","ENSG00000116688.16"
"1",12017215,12017308,94,"*","ENSG00000270914.1"
"1",12019465,12032045,12581,"*","ENSG00000116691.11"
"1",12024011,12024124,114,"*","ENSG00000202461.1"
"1",12029157,12029222,66,"*","ENSG00000276869.1"
"1",12036739,12037014,276,"*","ENSG00000243539.3"
"1",12063302,12144207,80906,"*","ENSG00000120949.15"
"1",12077880,12077984,105,"*","ENSG00000201135.1"
"1",12080292,12080547,256,"*","ENSG00000227875.2"
"1",12088440,12092264,3825,"*","ENSG00000285604.1"
"1",12166942,12167038,97,"*","ENSG00000283789.1"
"1",12166990,12209228,42239,"*","ENSG00000028137.19"
"1",12191712,12191773,62,"*","ENSG00000263676.1"
"1",12220793,12221109,317,"*","ENSG00000225196.2"
"1",12221147,12221271,125,"*","ENSG00000252969.1"
"1",12230029,12512047,282019,"*","ENSG00000048707.15"
"1",12507245,12507397,153,"*","ENSG00000239149.1"
"1",12527723,12528420,698,"*","ENSG00000229484.1"
"1",12567909,12618210,50302,"*","ENSG00000162496.9"
"1",12569971,12570072,102,"*","ENSG00000221340.1"
"1",12578956,12579023,68,"*","ENSG00000276830.1"
"1",12618899,12619244,346,"*","ENSG00000272482.1"
"1",12644546,12667086,22541,"*","ENSG00000204518.2"
"1",12692908,12693020,113,"*","ENSG00000226166.2"
"1",12716109,12728760,12652,"*","ENSG00000188984.12"
"1",12746199,12763699,17501,"*","ENSG00000157330.10"
"1",12774840,12777906,3067,"*","ENSG00000116726.4"
"1",12791396,12796628,5233,"*","ENSG00000116721.9"
"1",12822685,12823159,475,"*","ENSG00000228338.1"
"1",12824604,12831410,6807,"*","ENSG00000239810.3"
"1",12838124,12841357,3234,"*","ENSG00000231103.2"
"1",12847407,12848725,1319,"*","ENSG00000179172.9"
"1",12857085,12861909,4825,"*","ENSG00000120952.4"
"1",12879211,12886201,6991,"*","ENSG00000243073.4"
"1",12892895,12898270,5376,"*","ENSG00000187545.5"
"1",12916609,12920482,3874,"*","ENSG00000204510.5"
"1",12922553,12922660,108,"*","ENSG00000207434.1"
"1",12926161,12928253,2093,"*","ENSG00000234064.1"
"1",12938471,12947580,9110,"*","ENSG00000232423.6"
"1",13029338,13032130,2793,"*","ENSG00000274178.2"
"1",13049475,13056491,7017,"*","ENSG00000274764.5"
"1",13060868,13062229,1362,"*","ENSG00000277058.2"
"1",13068676,13077884,9209,"*","ENSG00000229571.7"
"1",13095178,13097971,2794,"*","ENSG00000277862.1"
"1",13104402,13105689,1288,"*","ENSG00000236179.1"
"1",13115487,13116854,1368,"*","ENSG00000275774.3"
"1",13128817,13131615,2799,"*","ENSG00000229978.1"
"1",13146980,13147460,481,"*","ENSG00000233336.1"
"1",13148904,13155961,7058,"*","ENSG00000280267.4"
"1",13164585,13165467,883,"*","ENSG00000179412.10"
"1",13172454,13179464,7011,"*","ENSG00000204505.4"
"1",13196187,13201409,5223,"*","ENSG00000279169.3"
"1",13222704,13226106,3403,"*","ENSG00000279804.2"
"1",13245862,13248652,2791,"*","ENSG00000250894.1"
"1",13254211,13263314,9104,"*","ENSG00000270601.4"
"1",13273538,13275627,2090,"*","ENSG00000231219.1"
"1",13279124,13279231,108,"*","ENSG00000207511.1"
"1",13281034,13285174,4141,"*","ENSG00000182330.10"
"1",13303538,13308907,5370,"*","ENSG00000237700.2"
"1",13315580,13322598,7019,"*","ENSG00000204501.7"
"1",13324038,13324518,481,"*","ENSG00000228229.2"
"1",13341891,13347134,5244,"*","ENSG00000204481.8"
"1",13369066,13371900,2835,"*","ENSG00000204480.8"
"1",13389631,13392629,2999,"*","ENSG00000204479.4"
"1",13410449,13421328,10880,"*","ENSG00000204478.9"
"1",13474972,13514003,39032,"*","ENSG00000162494.6"
"1",13513219,13516270,3052,"*","ENSG00000259961.1"
"1",13555000,13555694,695,"*","ENSG00000215909.3"
"1",13583464,13617957,34494,"*","ENSG00000162493.16"
"1",13623183,13623284,102,"*","ENSG00000222952.1"
"1",13657310,13659910,2601,"*","ENSG00000237445.2"
"1",13696069,13696199,131,"*","ENSG00000253085.1"
"1",13700197,13825079,124883,"*","ENSG00000116731.22"
"1",13892791,15118043,1225253,"*","ENSG00000189337.17"
